time,sentiment,contributors_active,contributors_created,posts_active,posts_created,interactions,social_dominance,open,close,high,low,volume_24h,market_cap,circulating_supply,galaxy_score,volatility,alt_rank
2024-04-02,54,817,186,1282,275,2290036,0.18567815978749844,4.229799116,3.8438572698,4.2304746849,3.691182376099331,881096058.2,3840128554.75,998920172.89,39.5,0.0606,338.0
2024-04-03,78,754,168,1148,237,1144340,0.16821128979083483,3.8442797122,3.6297904572,4.162907694981432,3.6189836593883506,680897476.45,3625870911.03,998920172.89,37.0,0.0366,501.0
2024-04-04,82,677,145,1083,229,961227,0.16063911525374452,3.6297904572,3.5435627634,4.0063384805,3.4847617122,652633710.8,3539736328.28,998920172.89,40.0,0.0404,582.0
2024-04-05,81,729,214,1164,291,1153315,0.1721559875231279,3.543562763414147,3.2222445177,3.5822267339,3.1943105713903006,574775158.38,3218765050.72,998920172.89,42.0,0.0674,689.0
2024-04-06,82,674,149,1108,246,883964,0.17056256398020364,3.2222445177,3.5741388098,3.57952429804231,3.1973941577805585,383811656.37,3570279357.8,998920172.89,49.0,0.0231,9.0
2024-04-07,82,656,175,1176,370,451985,0.16841164618087925,3.5741388098,3.76642012,3.89652198061142,3.4645229368842125,567277471.78,3762353037.41,998920172.89,55.0,0.0546,15.0
2024-04-08,85,613,158,1135,266,763025,0.16270838500101067,3.76642012,4.1999557727,4.31403724278458,3.642008721259441,651712192.09,4195420546.64,998920172.89,55.0,0.0642,26.0
2024-04-09,86,562,127,998,195,433155,0.1410351527998587,4.1999557727,3.5880368821,4.205125509978206,3.5434626373697573,579210315.16,3584141026.46,998920172.89,50.0,0.0581,431.0
2024-04-10,79,528,155,915,240,266322,0.13293853735645542,3.5880154628,3.6249157721,3.683845097870622,3.314915814,621066367.76,3621001489.82,998920172.89,51.0,0.0668,99.0
2024-04-11,81,525,130,863,166,139902,0.128197891196682,3.6249157721,3.459283089,3.8441393384,3.4325711372,457436548.55,3455547661.33,998920172.89,35.0,0.0278,520.0
2024-04-12,80,542,134,872,181,171077,0.12361657879777206,3.459283089,2.6724393018,3.558884797898392,2.4554806098598583,898033206.77,2669553529.43,998920172.89,49.5,0.0942,318.0
2024-04-13,78,512,129,818,171,132552,0.11638677402326882,2.6724393018,2.3457394749,2.858873913198969,1.9790013509844457,1093002543.88,2343206481.79,998920172.89,40.0,0.1401,349.0
2024-04-14,79,478,125,772,182,82200,0.11697554574698432,2.3455713695,3.0522236339,3.0893980441475017,2.2655851338605717,1180927370.49,3048317848.46,998920172.89,48.0,0.0759,9.0
2024-04-15,79,524,196,887,281,124538,0.13208033224085378,3.051613063,2.7511743703,3.1227580074995087,2.4720041432,835328827.09,2748203577.63,998920172.89,57.0,0.0704,701.0
2024-04-16,83,554,174,874,235,733991,0.13461126760997233,2.7511743703,2.6833941395,2.7874136755,2.4210118795,676643217.7,2680455798.34,998906176.9,36.5,0.0626,380.0
2024-04-17,83,486,105,823,183,239827,0.13281412638805287,2.6833909533,2.4198834955,2.7774570217017542,2.333112165,494495768.5,2417236561.92,998906173.12,26.0,0.0379,376.0
2024-04-18,88,491,176,839,256,790248,0.13374588918698757,2.4198834955,2.571467,2.6551861183,2.2585185234,482233096.79,2568663183.98,998906169.85,52.0,0.0439,44.0
2024-04-19,84,536,148,858,193,647279,0.13379470154269346,2.5714759419,2.9305820454,3.0721247528064275,2.2553316724138064,818284852.33,2927376486.36,998906169.84,39.0,0.0912,19.0
2024-04-20,83,550,119,876,201,142245,0.13411885747881044,2.9305820454,3.0321982025,3.0892688882025086,2.7209400638,473044086.6,3028881480.14,998906165.72,46.5,0.0631,278.0
2024-04-21,83,526,94,841,175,928963,0.12194025652402121,3.0321982025,2.9244560972,3.1909631935019815,2.905807599303892,406692743.82,2921236892.55,998906156.04,35.5,0.0393,491.0
2024-04-22,81,478,126,798,235,110903,0.11362956760959274,2.9244357689,2.910184181,3.0687300324,2.793039982634095,418444693.95,2907000893.45,998906155.99,29.0,0.029,496.0
2024-04-23,80,447,92,733,158,145406,0.10542196832738628,2.9101657166,3.0140262522,3.1096723042932743,2.7516562426,433277313.62,3010729375.94,998906155.43,57.0,0.0299,39.0
2024-04-24,81,524,178,882,286,235620,0.1318699063006006,3.0140593665,3.1052541831,3.551428140534145,2.97729231949744,964684893.55,3101857498.88,998906149.37,53.0,0.0684,21.0
2024-04-25,82,513,130,857,213,184393,0.1299077306468556,3.1052609286,3.1572644442,3.3386310997,2.8545836710565817,746246853.68,3153810864.63,998906148.13,48.5,0.0599,88.0
2024-04-26,82,567,137,985,239,109217,0.13079984436810396,3.1572644442,2.8399712682,3.1811657255,2.8256150983474835,428720860.86,2836864749.62,998906144.37,49.0,0.0344,455.0
2024-04-27,80,481,109,838,193,153966,0.11874330474803182,2.8399712682,2.7660770701,2.8525500914,2.6225796895,357781272.15,2763051374.69,998906142.05,41.0,0.0535,475.0
2024-04-28,82,485,79,847,137,138547,0.11209575386048776,2.7660770701,2.6519072122,2.8335479615,2.631789457664778,224288577.1,2649006395.0,998906139.25,36.0,0.0174,1047.0
